CensusTract,State,County,Pop2010,LILATracts_1And10,LALOWI1_10,TractLOWI
36103158306,New York,Suffolk County,5982,0,453,623
36103158308,New York,Suffolk County,8206,0,48,2142
36103158309,New York,Suffolk County,4431,0,710,1062
36103158310,New York,Suffolk County,4473,0,657,877
36103158315,New York,Suffolk County,4629,0,954,853
36103158317,New York,Suffolk County,5815,0,544,756
36103158318,New York,Suffolk County,4515,0,103,332
36103158319,New York,Suffolk County,3739,0,486,544
36103158320,New York,Suffolk County,6247,0,416,441
36103158321,New York,Suffolk County,9754,0,463,1330
36103158322,New York,Suffolk County,2200,0,58,113
36103158323,New York,Suffolk County,7381,0,196,812
36103158401,New York,Suffolk County,1308,0,NULL,245
36103158402,New York,Suffolk County,4481,0,NULL,407
36103158403,New York,Suffolk County,2170,0,77,407
36103158405,New York,Suffolk County,5005,0,NULL,613
36103158407,New York,Suffolk County,5963,0,136,936
36103158408,New York,Suffolk County,4025,0,225,317
36103158409,New York,Suffolk County,3875,0,758,869
36103158410,New York,Suffolk County,3504,1,862,741
36103158502,New York,Suffolk County,3706,0,NULL,885
36103158505,New York,Suffolk County,4386,0,35,458
36103158506,New York,Suffolk County,2614,0,79,182
36103158507,New York,Suffolk County,3804,0,32,532
36103158508,New York,Suffolk County,6183,0,11,578
36103158509,New York,Suffolk County,4847,0,NULL,1049
36103158510,New York,Suffolk County,7316,0,243,1225
36103158511,New York,Suffolk County,6145,0,45,707
36103158512,New York,Suffolk County,3536,0,204,482
36103158604,New York,Suffolk County,4940,0,NULL,796
36103158605,New York,Suffolk County,4952,0,21,653
36103158606,New York,Suffolk County,4969,0,24,712
36103158607,New York,Suffolk County,3355,0,121,403
36103158608,New York,Suffolk County,4064,0,40,720
36103158609,New York,Suffolk County,4516,0,16,584
36103158704,New York,Suffolk County,8344,0,269,1695
36103158705,New York,Suffolk County,4042,0,263,1188
36103158707,New York,Suffolk County,1671,0,180,244
36103158708,New York,Suffolk County,3840,0,95,1040
36103158709,New York,Suffolk County,2120,0,NULL,391
36103158710,New York,Suffolk County,3686,0,207,625
36103158711,New York,Suffolk County,5277,0,451,1154
36103158712,New York,Suffolk County,7820,0,366,1981
36103158802,New York,Suffolk County,4773,0,58,371
36103158803,New York,Suffolk County,6381,0,98,442
36103158804,New York,Suffolk County,7246,0,1,1651
36103158900,New York,Suffolk County,7119,0,NULL,1993
36103159000,New York,Suffolk County,4679,0,2,1180
36103159102,New York,Suffolk County,6803,0,331,1537
36103159103,New York,Suffolk County,6037,1,310,2562
36103159105,New York,Suffolk County,7174,0,971,1428
36103159106,New York,Suffolk County,6887,0,689,1362
36103159107,New York,Suffolk County,3691,0,151,592
36103159108,New York,Suffolk County,7354,0,133,769
36103159201,New York,Suffolk County,3074,0,38,599
36103159203,New York,Suffolk County,5418,0,491,887
36103159204,New York,Suffolk County,4226,0,276,762
36103159300,New York,Suffolk County,2084,0,3,310
36103159404,New York,Suffolk County,7313,1,766,1552
36103159406,New York,Suffolk County,4279,0,277,750
36103159407,New York,Suffolk County,6562,0,825,841
36103159408,New York,Suffolk County,4501,0,164,1440
36103159410,New York,Suffolk County,7819,0,1259,1659
36103159411,New York,Suffolk County,3382,0,523,612
36103159412,New York,Suffolk County,7928,0,1041,1359
36103159505,New York,Suffolk County,7998,0,1027,2050
36103159506,New York,Suffolk County,8793,0,326,2386
36103159508,New York,Suffolk County,7464,0,486,1822
36103159509,New York,Suffolk County,3150,0,45,1227
36103159510,New York,Suffolk County,82,0,NULL,52
36103159511,New York,Suffolk County,6734,0,983,1975
36103159512,New York,Suffolk County,2316,0,450,479
36103159601,New York,Suffolk County,6212,0,123,576
36103159602,New York,Suffolk County,4249,0,404,620
36103169701,New York,Suffolk County,7719,0,660,852
36103169703,New York,Suffolk County,1642,0,NULL,179
36103169704,New York,Suffolk County,7058,1,732,1716
36103169800,New York,Suffolk County,6156,0,NULL,2417
36103169901,New York,Suffolk County,5443,0,462,1464
36103169902,New York,Suffolk County,5488,0,544,375
36103170001,New York,Suffolk County,5613,0,275,480
36103170002,New York,Suffolk County,4381,0,364,494
36103170101,New York,Suffolk County,2197,0,30,688
36103170201,New York,Suffolk County,5748,0,332,1190
36103170202,New York,Suffolk County,4029,0,0,704
36103180300,New York,Suffolk County,2392,0,NULL,105
36103190401,New York,Suffolk County,7953,0,1653,1837
36103190402,New York,Suffolk County,2752,0,562,530
36103190403,New York,Suffolk County,3702,0,290,1034
36103190502,New York,Suffolk County,2537,0,156,441
36103190503,New York,Suffolk County,3368,0,465,379
36103190504,New York,Suffolk County,1846,0,149,166
36103190601,New York,Suffolk County,4438,0,724,707
36103190603,New York,Suffolk County,4566,0,282,1462
36103190604,New York,Suffolk County,4394,0,322,764
36103190704,New York,Suffolk County,3141,0,NULL,707
36103190705,New York,Suffolk County,4163,0,1186,1099
36103190706,New York,Suffolk County,4794,0,871,1039
36103190707,New York,Suffolk County,4669,0,NULL,606
36103190708,New York,Suffolk County,2020,0,65,255
36103190800,New York,Suffolk County,3109,0,43,508
36103200901,New York,Suffolk County,1083,0,55,193
36103200902,New York,Suffolk County,6410,0,816,1279
36103201001,New York,Suffolk County,6592,0,1318,1497
36103201003,New York,Suffolk County,4046,0,NULL,620
36103201004,New York,Suffolk County,3326,0,186,358
36103201100,New York,Suffolk County,6415,0,68,1429
36105950100,New York,Sullivan County,3557,0,46,814
36105950200,New York,Sullivan County,3775,0,NULL,824
36105950300,New York,Sullivan County,1381,0,NULL,213
36105950400,New York,Sullivan County,3057,0,NULL,502
36105950500,New York,Sullivan County,3264,0,NULL,925
36105950600,New York,Sullivan County,1809,0,NULL,500
36105950700,New York,Sullivan County,4812,1,655,2162
36105950800,New York,Sullivan County,4370,0,NULL,1752
36105950900,New York,Sullivan County,3119,0,NULL,1763
36105951000,New York,Sullivan County,2291,0,NULL,992
36105951100,New York,Sullivan County,3090,0,NULL,582
36105951200,New York,Sullivan County,7675,0,NULL,1596
36105951300,New York,Sullivan County,4410,0,NULL,723
36105951500,New York,Sullivan County,2394,0,NULL,1405
36105951600,New York,Sullivan County,3152,0,NULL,1371
36105951700,New York,Sullivan County,4227,0,NULL,523
36105951800,New York,Sullivan County,6354,1,1506,2618
36105951900,New York,Sullivan County,1856,0,NULL,756
36105952000,New York,Sullivan County,2399,0,NULL,435
36105952100,New York,Sullivan County,2670,0,NULL,891
36105952200,New York,Sullivan County,1372,0,NULL,359
36105952300,New York,Sullivan County,1515,0,NULL,481
36105952400,New York,Sullivan County,2530,0,NULL,815
36105952500,New York,Sullivan County,2468,0,NULL,616
36107020100,New York,Tioga County,6530,0,NULL,1553
36107020200,New York,Tioga County,5305,0,2,1472
36107020300,New York,Tioga County,7063,0,NULL,1049
36107020401,New York,Tioga County,5000,0,NULL,858
36107020402,New York,Tioga County,3924,0,380,309
36107020500,New York,Tioga County,3896,0,56,1607
36107020600,New York,Tioga County,7396,0,NULL,2284
36107020701,New York,Tioga County,3153,0,NULL,1055
36107020702,New York,Tioga County,4516,0,NULL,1742
36107020703,New York,Tioga County,4342,0,104,1891
36109000100,New York,Tompkins County,1630,0,NULL,826
36109000200,New York,Tompkins County,5571,0,NULL,4309
36109000300,New York,Tompkins County,2725,0,2,147
36109000400,New York,Tompkins County,4162,1,801,366
36109000500,New York,Tompkins County,4473,0,612,1084
36109000600,New York,Tompkins County,5137,0,358,902
36109000700,New York,Tompkins County,3721,0,NULL,1426
36109000800,New York,Tompkins County,2518,0,NULL,1187
36109000900,New York,Tompkins County,3980,0,NULL,746
36109001000,New York,Tompkins County,4070,1,385,1787
36109001100,New York,Tompkins County,5647,1,1020,2265
36109001200,New York,Tompkins County,3372,1,778,34
36109001300,New York,Tompkins County,6209,1,547,2449
36109001400,New York,Tompkins County,3530,0,NULL,1011
36109001500,New York,Tompkins County,5784,0,970,1513
36109001600,New York,Tompkins County,4288,0,NULL,790
36109001700,New York,Tompkins County,4430,0,NULL,1265
36109001800,New York,Tompkins County,5033,0,41,1371
36109001900,New York,Tompkins County,6099,0,21,1809
36109002000,New York,Tompkins County,4660,0,NULL,1238
36109002100,New York,Tompkins County,4472,0,NULL,1119
36109002200,New York,Tompkins County,4535,0,NULL,1078
36109002300,New York,Tompkins County,5518,0,NULL,895
36111950100,New York,Ulster County,5336,0,NULL,984
36111950200,New York,Ulster County,3968,0,0,1277
36111950300,New York,Ulster County,4317,0,936,1252
36111950400,New York,Ulster County,4276,0,NULL,1337
36111950500,New York,Ulster County,3008,0,NULL,910
36111950600,New York,Ulster County,2876,0,NULL,420
36111950900,New York,Ulster County,1335,0,98,327
36111951000,New York,Ulster County,4419,0,NULL,1174
36111951100,New York,Ulster County,2359,0,147,539
36111951200,New York,Ulster County,3955,0,NULL,642
36111951300,New York,Ulster County,4337,0,NULL,1054
36111951400,New York,Ulster County,3334,0,144,1478
36111951500,New York,Ulster County,3433,0,NULL,775
36111951600,New York,Ulster County,2112,0,384,365
36111951700,New York,Ulster County,4782,1,2111,2469
36111951800,New York,Ulster County,1738,1,299,726
36111951900,New York,Ulster County,2921,1,674,1151
36111952000,New York,Ulster County,2493,0,NULL,1476
36111952100,New York,Ulster County,3757,0,171,1856
36111952200,New York,Ulster County,3815,0,372,821
36111952300,New York,Ulster County,1681,0,362,429
36111952400,New York,Ulster County,2706,0,2,970
36111952500,New York,Ulster County,3411,0,682,651
36111952600,New York,Ulster County,5630,0,NULL,1511
36111952700,New York,Ulster County,2891,0,NULL,778
36111952800,New York,Ulster County,3184,0,479,668
36111952900,New York,Ulster County,5607,0,NULL,1317
36111953000,New York,Ulster County,1842,0,NULL,531
36111953300,New York,Ulster County,4409,0,454,565
36111953400,New York,Ulster County,4414,0,86,1424
36111953500,New York,Ulster County,5180,1,324,1137
36111953600,New York,Ulster County,5647,0,476,1462
36111953700,New York,Ulster County,5216,0,NULL,910
36111953800,New York,Ulster County,3946,0,682,675
36111953900,New York,Ulster County,4862,0,NULL,865
36111954000,New York,Ulster County,5019,0,NULL,953
36111954100,New York,Ulster County,5480,0,NULL,1632
36111954200,New York,Ulster County,5713,0,NULL,1048
36111954400,New York,Ulster County,9731,0,NULL,3395
36111954500,New York,Ulster County,4732,0,NULL,604
36111954600,New York,Ulster County,1722,0,1,484
36111954700,New York,Ulster County,1840,0,NULL,882
36111954800,New York,Ulster County,4863,1,1548,1974
36111954900,New York,Ulster County,1585,0,NULL,438
36111955000,New York,Ulster County,5471,0,0,1667
36111955300,New York,Ulster County,2539,0,0,988
36111955400,New York,Ulster County,4601,0,769,535
36113070100,New York,Warren County,2736,0,NULL,702
36113070200,New York,Warren County,1973,0,NULL,995
36113070300,New York,Warren County,3759,0,NULL,940
36113070400,New York,Warren County,3731,0,168,1214
36113070500,New York,Warren County,2501,0,16,1272
36113070601,New York,Warren County,5701,0,850,934
36113070602,New York,Warren County,1481,0,NULL,163
36113070701,New York,Warren County,3655,0,200,1228
36113070702,New York,Warren County,4788,0,458,770
36113070800,New York,Warren County,7387,0,988,1657
36113070900,New York,Warren County,4889,0,339,296
36113071000,New York,Warren County,3347,0,NULL,1154
36113072000,New York,Warren County,3515,0,337,812
36113073000,New York,Warren County,4094,0,NULL,1564
36113073500,New York,Warren County,1986,0,84,550
36113074000,New York,Warren County,2395,0,34,648
36113075000,New York,Warren County,3355,0,NULL,580
36113076000,New York,Warren County,2088,0,31,688
36113078000,New York,Warren County,2326,0,NULL,458
36115080100,New York,Washington County,4809,0,211,1882
36115080200,New York,Washington County,2472,0,1,959
36115080300,New York,Washington County,5390,0,NULL,1745
36115081000,New York,Washington County,6190,0,NULL,701
36115082001,New York,Washington County,4980,0,NULL,1681
36115082002,New York,Washington County,1261,0,1,347
36115084000,New York,Washington County,6669,0,NULL,2451
36115085000,New York,Washington County,2269,0,NULL,581
36115086000,New York,Washington County,1853,0,168,688
36115087000,New York,Washington County,3782,0,1,972
36115088000,New York,Washington County,6371,1,646,2309
36115089000,New York,Washington County,4942,0,NULL,1232
36115090000,New York,Washington County,2715,0,467,919
36115091000,New York,Washington County,1800,0,NULL,463
36115092000,New York,Washington County,3356,0,NULL,936
36115093000,New York,Washington County,2021,0,NULL,446
36115094000,New York,Washington County,2336,0,NULL,457
36117020101,New York,Wayne County,4970,0,NULL,1009
36117020102,New York,Wayne County,5166,1,577,1446
36117020201,New York,Wayne County,4713,0,NULL,687
36117020202,New York,Wayne County,4736,0,NULL,345
36117020301,New York,Wayne County,3781,0,NULL,1045
36117020302,New York,Wayne County,5367,0,NULL,1063
36117020401,New York,Wayne County,2856,0,NULL,680
36117020402,New York,Wayne County,4128,0,NULL,929
36117020500,New York,Wayne County,4746,0,NULL,1136
36117020600,New York,Wayne County,4258,0,NULL,1499
36117020700,New York,Wayne County,3717,0,311,1142
36117020800,New York,Wayne County,3046,0,NULL,696
36117020900,New York,Wayne County,5338,0,NULL,2012
36117021000,New York,Wayne County,6470,0,NULL,1437
36117021100,New York,Wayne County,5193,1,207,1769
36117021200,New York,Wayne County,4644,1,587,1848
36117021400,New York,Wayne County,3619,0,140,1177
36117021501,New York,Wayne County,2118,0,NULL,542
36117021502,New York,Wayne County,4453,0,NULL,1803
36117021600,New York,Wayne County,4433,0,NULL,1452
36117021700,New York,Wayne County,3927,0,NULL,1252
36117021800,New York,Wayne County,2093,0,NULL,919
36119000101,New York,Westchester County,4948,0,NULL,2426
36119000103,New York,Westchester County,5798,0,NULL,2659
36119000201,New York,Westchester County,7669,0,NULL,4179
36119000202,New York,Westchester County,4175,0,NULL,1302
36119000203,New York,Westchester County,3329,0,NULL,885
36119000300,New York,Westchester County,5282,0,NULL,2597
36119000401,New York,Westchester County,4461,0,NULL,1787
36119000402,New York,Westchester County,5902,0,NULL,2254
36119000500,New York,Westchester County,3812,0,NULL,2583
36119000600,New York,Westchester County,6977,0,NULL,2958
36119000701,New York,Westchester County,3463,0,7,1018
36119000702,New York,Westchester County,4096,0,10,1121
36119000801,New York,Westchester County,5315,0,NULL,1360
36119000802,New York,Westchester County,2232,0,NULL,749
36119000803,New York,Westchester County,4641,0,NULL,992
36119000900,New York,Westchester County,3386,0,NULL,660
36119001000,New York,Westchester County,1813,0,NULL,1231
36119001101,New York,Westchester County,3892,0,NULL,2549
36119001102,New York,Westchester County,4993,0,NULL,3076
36119001200,New York,Westchester County,5265,0,NULL,2479
36119001301,New York,Westchester County,3711,0,NULL,1177
36119001302,New York,Westchester County,4122,0,NULL,1962
36119001303,New York,Westchester County,6810,0,NULL,3986
36119001401,New York,Westchester County,4003,0,NULL,650
36119001402,New York,Westchester County,2011,0,NULL,204
36119001403,New York,Westchester County,3076,0,NULL,1035
36119001502,New York,Westchester County,2887,0,NULL,707
36119001503,New York,Westchester County,2855,0,NULL,561
36119001504,New York,Westchester County,4634,0,NULL,954
36119001505,New York,Westchester County,2033,0,NULL,279
36119001600,New York,Westchester County,3522,0,NULL,1381
36119001700,New York,Westchester County,6517,0,NULL,1514
36119001800,New York,Westchester County,1596,0,NULL,431
36119001900,New York,Westchester County,1626,0,NULL,241
36119002000,New York,Westchester County,4098,0,3,226
36119002101,New York,Westchester County,3356,0,54,477
36119002103,New York,Westchester County,3147,0,NULL,137
36119002104,New York,Westchester County,5074,0,NULL,851
36119002105,New York,Westchester County,1728,0,NULL,108
36119002106,New York,Westchester County,2538,0,NULL,669
36119002107,New York,Westchester County,1730,0,NULL,395
36119002201,New York,Westchester County,2302,0,NULL,274
36119002202,New York,Westchester County,4669,0,NULL,836
36119002203,New York,Westchester County,1599,0,NULL,499
36119002204,New York,Westchester County,4925,0,NULL,770
36119002300,New York,Westchester County,3882,0,NULL,1274
36119002401,New York,Westchester County,1687,0,NULL,351
36119002402,New York,Westchester County,3356,0,NULL,630
36119002403,New York,Westchester County,5397,0,NULL,1138
36119002404,New York,Westchester County,2689,0,NULL,662
36119002405,New York,Westchester County,2947,0,NULL,467
36119002600,New York,Westchester County,3873,0,NULL,1204
36119002700,New York,Westchester County,3444,0,NULL,1329
36119002800,New York,Westchester County,2475,0,NULL,722
36119002900,New York,Westchester County,3866,0,NULL,1700
36119003000,New York,Westchester County,2819,0,NULL,768
36119003100,New York,Westchester County,2639,0,NULL,2037
36119003200,New York,Westchester County,2499,0,NULL,950
36119003300,New York,Westchester County,3524,0,NULL,1285
36119003400,New York,Westchester County,4502,0,NULL,967
36119003500,New York,Westchester County,2152,0,NULL,1041
36119003600,New York,Westchester County,4088,0,NULL,1622
36119003700,New York,Westchester County,3894,0,NULL,1311
36119003800,New York,Westchester County,3071,0,NULL,669
36119003900,New York,Westchester County,3449,0,NULL,533
36119004000,New York,Westchester County,6326,0,NULL,1798
36119004100,New York,Westchester County,3817,0,NULL,1229
36119004200,New York,Westchester County,4334,0,NULL,991
36119004300,New York,Westchester County,1686,0,18,191
36119004400,New York,Westchester County,3367,0,1,269
36119004500,New York,Westchester County,1467,0,NULL,207
36119004600,New York,Westchester County,2784,0,NULL,417
36119004700,New York,Westchester County,3539,0,NULL,151
36119004800,New York,Westchester County,6486,0,NULL,998
36119004900,New York,Westchester County,2860,0,NULL,393
36119005001,New York,Westchester County,3576,0,NULL,373
36119005002,New York,Westchester County,4297,0,NULL,295
36119005100,New York,Westchester County,4017,0,NULL,623
36119005200,New York,Westchester County,4804,0,37,226
36119005300,New York,Westchester County,5081,0,3,586
36119005400,New York,Westchester County,1829,0,NULL,110
36119005500,New York,Westchester County,5486,0,NULL,355
36119005701,New York,Westchester County,6216,0,NULL,1079
36119005702,New York,Westchester County,3299,0,NULL,518
36119005800,New York,Westchester County,4242,0,NULL,2231
36119005901,New York,Westchester County,4603,0,NULL,1603
36119005902,New York,Westchester County,5340,0,0,291
36119006000,New York,Westchester County,4325,0,NULL,768
36119006100,New York,Westchester County,3821,0,NULL,1633
36119006200,New York,Westchester County,5727,0,NULL,2572
36119006300,New York,Westchester County,6781,0,NULL,2449
36119006400,New York,Westchester County,5489,0,NULL,2010
36119006500,New York,Westchester County,5252,0,NULL,2041
36119006600,New York,Westchester County,6121,0,133,649
36119006700,New York,Westchester County,4993,0,1,190
36119006801,New York,Westchester County,5429,0,29,680
36119006802,New York,Westchester County,5424,0,1,158
36119006900,New York,Westchester County,5890,0,32,232
36119007000,New York,Westchester County,6087,0,11,327
36119007100,New York,Westchester County,5864,0,29,390
36119007200,New York,Westchester County,6514,0,19,1341
36119007300,New York,Westchester County,4801,0,NULL,1851
36119007401,New York,Westchester County,4768,0,NULL,670
36119007402,New York,Westchester County,2846,0,0,231
36119007500,New York,Westchester County,4612,0,23,460
36119007600,New York,Westchester County,6160,0,299,329
36119007700,New York,Westchester County,4948,0,52,502
36119007800,New York,Westchester County,4372,0,0,1747
36119007900,New York,Westchester County,7930,0,NULL,3397
36119008000,New York,Westchester County,5316,0,NULL,2609
36119008100,New York,Westchester County,4418,0,NULL,1191
36119008200,New York,Westchester County,6931,0,57,853
36119008301,New York,Westchester County,2687,0,20,467
36119008302,New York,Westchester County,6660,0,150,255
36119008401,New York,Westchester County,2142,0,23,109
36119008403,New York,Westchester County,3641,0,NULL,782
36119008404,New York,Westchester County,4790,0,NULL,760
36119008500,New York,Westchester County,3391,0,NULL,79
36119008602,New York,Westchester County,5657,0,NULL,432
36119008700,New York,Westchester County,5326,0,94,651
36119008800,New York,Westchester County,4341,0,NULL,1771
36119008901,New York,Westchester County,5375,0,NULL,1090
36119008902,New York,Westchester County,3759,0,83,1342
36119009000,New York,Westchester County,4080,0,NULL,988
36119009100,New York,Westchester County,5704,0,NULL,1767
36119009200,New York,Westchester County,7065,0,NULL,1477
36119009300,New York,Westchester County,3022,0,NULL,1808
36119009400,New York,Westchester County,4221,0,NULL,1495
36119009500,New York,Westchester County,5120,0,NULL,1250
36119009600,New York,Westchester County,4387,0,36,427
36119009701,New York,Westchester County,2881,0,215,257
36119009702,New York,Westchester County,2847,0,346,689
36119009703,New York,Westchester County,4051,0,265,275
36119009800,New York,Westchester County,4514,0,26,290
36119009900,New York,Westchester County,2981,0,77,194
36119010000,New York,Westchester County,5182,0,40,234
36119010100,New York,Westchester County,4489,0,NULL,276
36119010200,New York,Westchester County,4738,0,NULL,281
36119010300,New York,Westchester County,3111,0,13,342
36119010400,New York,Westchester County,3916,0,0,374
36119010500,New York,Westchester County,6959,0,NULL,409
36119010600,New York,Westchester County,4452,0,0,320
36119010701,New York,Westchester County,5842,0,3,130
36119010702,New York,Westchester County,5268,0,NULL,571
36119010801,New York,Westchester County,3352,0,2,366
36119010803,New York,Westchester County,3631,0,NULL,443
36119010804,New York,Westchester County,2511,0,NULL,183
36119010901,New York,Westchester County,2194,0,69,174
36119010902,New York,Westchester County,5989,0,NULL,807
36119010903,New York,Westchester County,4896,0,NULL,1300
36119011000,New York,Westchester County,2267,0,246,366
36119011101,New York,Westchester County,4973,0,84,419
36119011102,New York,Westchester County,2747,0,147,277
36119011200,New York,Westchester County,3857,0,57,1173
36119011300,New York,Westchester County,6413,0,661,662
36119011400,New York,Westchester County,6368,0,44,419
36119011500,New York,Westchester County,4916,0,0,1459
36119011600,New York,Westchester County,6848,0,0,3297
36119011700,New York,Westchester County,2926,0,30,328
36119011800,New York,Westchester County,5626,0,36,80
36119011902,New York,Westchester County,4278,0,520,587
36119012000,New York,Westchester County,4725,0,452,474
36119012101,New York,Westchester County,5633,0,122,230
36119012102,New York,Westchester County,4435,0,2,365
36119012200,New York,Westchester County,7019,0,5,1209
36119012301,New York,Westchester County,2168,0,9,167
36119012303,New York,Westchester County,4777,0,68,190
36119012304,New York,Westchester County,4896,0,259,281
36119012400,New York,Westchester County,5104,0,NULL,324
36119012501,New York,Westchester County,3053,0,280,438
36119012502,New York,Westchester County,5624,0,NULL,321
36119012503,New York,Westchester County,3734,0,NULL,208
36119012600,New York,Westchester County,4605,0,184,359
36119012700,New York,Westchester County,4702,0,237,475
36119012802,New York,Westchester County,6899,0,523,1996
36119012900,New York,Westchester County,4414,0,NULL,1539
36119013000,New York,Westchester County,6463,0,0,1016
36119013102,New York,Westchester County,6089,0,26,152
36119013103,New York,Westchester County,5122,0,87,326
36119013104,New York,Westchester County,6358,0,333,384
36119013201,New York,Westchester County,4366,0,29,50
36119013202,New York,Westchester County,2842,0,1,295
36119013301,New York,Westchester County,3077,0,0,1433
36119013304,New York,Westchester County,5030,0,0,1641
36119013400,New York,Westchester County,6727,0,NULL,2516
36119013500,New York,Westchester County,3824,0,2,848
36119013600,New York,Westchester County,4653,0,98,1372
36119013700,New York,Westchester County,5406,0,337,823
36119013800,New York,Westchester County,3252,0,27,245
36119013900,New York,Westchester County,4818,0,315,428
36119014000,New York,Westchester County,2230,0,135,319
36119014100,New York,Westchester County,6400,0,0,1861
36119014200,New York,Westchester County,3516,0,0,1457
36119014300,New York,Westchester County,3598,0,NULL,2559
36119014400,New York,Westchester County,5592,0,NULL,1945
36119014500,New York,Westchester County,4477,0,6,628
36119014604,New York,Westchester County,4424,0,680,714
36119014605,New York,Westchester County,2938,0,27,737
36119014606,New York,Westchester County,5772,0,NULL,130
36119014607,New York,Westchester County,4474,0,211,383
36119014701,New York,Westchester County,4784,0,554,1277
36119014703,New York,Westchester County,6106,0,205,537
36119014704,New York,Westchester County,2224,0,74,372
36119014804,New York,Westchester County,8021,0,139,794
36119014805,New York,Westchester County,4339,0,NULL,361
36119014806,New York,Westchester County,6467,0,80,204
36119014808,New York,Westchester County,3464,0,197,429
36119014809,New York,Westchester County,6115,0,168,798
36119014810,New York,Westchester County,2086,0,75,322
36119014811,New York,Westchester County,5589,0,305,303
36119014901,New York,Westchester County,6267,0,NULL,559
36119014903,New York,Westchester County,4277,0,333,460
36119014907,New York,Westchester County,4411,0,209,365
36119014908,New York,Westchester County,2886,0,97,129
36119014909,New York,Westchester County,2593,0,56,194
36119015000,New York,Westchester County,5104,0,NULL,925
36119981000,New York,Westchester County,2234,1,1686,673
36119982000,New York,Westchester County,1749,0,NULL,0
36119983000,New York,Westchester County,1129,0,NULL,6
36119984000,New York,Westchester County,570,1,158,114
36119985000,New York,Westchester County,2525,0,0,0
36121970100,New York,Wyoming County,2673,0,NULL,672
36121970200,New York,Wyoming County,7702,0,1007,1276
36121970300,New York,Wyoming County,3359,0,NULL,453
36121970400,New York,Wyoming County,3764,0,197,775
36121970500,New York,Wyoming County,5064,0,581,1273
36121970600,New York,Wyoming County,4616,0,NULL,1402
36121970700,New York,Wyoming County,2906,0,NULL,903
36121970800,New York,Wyoming County,3065,0,2,1080
36121970900,New York,Wyoming County,2057,0,0,421
36121971000,New York,Wyoming County,4205,0,NULL,1591
36121971100,New York,Wyoming County,2744,0,11,891
36123150100,New York,Yates County,5942,0,NULL,2467
36123150200,New York,Yates County,5561,0,NULL,1731
36123150300,New York,Yates County,5348,0,45,1853
36123150400,New York,Yates County,3973,0,NULL,476
36123150500,New York,Yates County,4524,0,NULL,1517
37001020100,North Carolina,Alamance County,3908,1,271,1829
37001020200,North Carolina,Alamance County,4152,0,54,2983
37001020300,North Carolina,Alamance County,8063,1,1047,4513
37001020400,North Carolina,Alamance County,6059,1,3818,4180
37001020501,North Carolina,Alamance County,3575,1,933,1654
37001020502,North Carolina,Alamance County,3782,1,781,2249
37001020601,North Carolina,Alamance County,3234,0,69,231
37001020602,North Carolina,Alamance County,2414,0,0,679
37001020701,North Carolina,Alamance County,4519,0,13,1145
37001020702,North Carolina,Alamance County,4742,1,379,2238
37001020801,North Carolina,Alamance County,1450,0,214,620
37001020802,North Carolina,Alamance County,5857,0,NULL,4623
37001020901,North Carolina,Alamance County,3583,0,269,1332
37001020902,North Carolina,Alamance County,3380,0,940,1149
37001021000,North Carolina,Alamance County,3720,0,240,2562
37001021101,North Carolina,Alamance County,2668,1,551,1059
37001021102,North Carolina,Alamance County,3318,1,542,1774
37001021201,North Carolina,Alamance County,5252,1,1641,2898
37001021204,North Carolina,Alamance County,4280,0,1182,1273
37001021205,North Carolina,Alamance County,4636,0,83,2127
37001021206,North Carolina,Alamance County,4320,0,748,1750
37001021207,North Carolina,Alamance County,3086,0,NULL,1446
37001021300,North Carolina,Alamance County,6057,0,NULL,1837
37001021400,North Carolina,Alamance County,2650,0,NULL,741
37001021500,North Carolina,Alamance County,4681,0,5,1500
37001021600,North Carolina,Alamance County,6934,0,NULL,1386
37001021701,North Carolina,Alamance County,3237,0,171,300
37001021702,North Carolina,Alamance County,5282,1,1889,1927
37001021703,North Carolina,Alamance County,4866,0,166,1586
37001021801,North Carolina,Alamance County,4441,0,NULL,1399
37001021802,North Carolina,Alamance County,3553,0,8,1153
37001021803,North Carolina,Alamance County,2879,0,9,1098
37001021901,North Carolina,Alamance County,4535,0,NULL,938
37001021902,North Carolina,Alamance County,4423,0,760,1239
37001022001,North Carolina,Alamance County,3319,0,NULL,1148
37001022002,North Carolina,Alamance County,4276,0,9,1569
37003040100,North Carolina,Alexander County,3476,0,20,738
37003040200,North Carolina,Alexander County,3994,0,NULL,1565
37003040300,North Carolina,Alexander County,3202,0,NULL,1351
37003040400,North Carolina,Alexander County,6552,1,1113,2673
37003040500,North Carolina,Alexander County,6982,0,NULL,3925
37003040600,North Carolina,Alexander County,6347,0,NULL,1499
37003040700,North Carolina,Alexander County,6645,0,1692,2236
37005950100,North Carolina,Alleghany County,4079,0,18,1710
37005950200,North Carolina,Alleghany County,3870,0,NULL,2213
37005950300,North Carolina,Alleghany County,3206,0,204,1372
37007920100,North Carolina,Anson County,3411,0,0,944
37007920200,North Carolina,Anson County,1738,0,NULL,881
37007920300,North Carolina,Anson County,8178,0,22,2439
37007920400,North Carolina,Anson County,3032,0,NULL,1946
37007920500,North Carolina,Anson County,6138,1,1212,2962
37007920600,North Carolina,Anson County,4451,0,13,1877
37009970200,North Carolina,Ashe County,2884,1,340,1474
37009970300,North Carolina,Ashe County,2470,0,115,1120
